id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
1297417,1813448.0,38.91351,-77.03112,100%,83%,2.0,3.0,1.0,2.0,$200.00,3.0,1125.0,18.0,28.0,53.0,312.0,14.0,11.0,1.0,4.86,4.93,4.86,5.0,5.0,5.0,4.93,1.0,1.0,0.0,0.1,66.0,13200.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within a few hours,f,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,22/11/2013,27/05/2025,f,t
1537822,8199495.0,38.93362,-77.02555,100%,98%,2.0,2.0,1.0,2.0,$96.00,2.0,10.0,14.0,28.0,58.0,238.0,268.0,38.0,3.0,4.85,4.85,4.83,4.91,4.91,4.73,4.78,1.0,1.0,0.0,3.57,228.0,21888.0,1.0,1.0,0.0,2.0,1125.0,Entire guest suite,"Washington, DC",within an hour,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire guest suite,Entire home/apt,19/04/2019,02/06/2025,f,t
1571112,8354112.0,38.91579,-77.04042,100%,95%,4.0,2.0,1.0,1.0,$145.00,28.0,90.0,1.0,1.0,15.0,224.0,150.0,10.0,1.0,4.94,4.97,4.95,4.97,4.95,4.97,4.9,2.0,2.0,0.0,1.05,255.0,36975.0,1.0,2.0,0.0,26.9,90.0,Entire rental unit,"Washington, DC",within a few hours,t,f,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,15/09/2013,13/06/2025,f,t
1641184,8713526.0,38.92042,-77.03977,,100%,3.0,1.0,1.0,1.0,$89.00,31.0,124.0,0.0,0.0,25.0,300.0,76.0,1.0,0.0,4.89,4.89,4.82,4.93,4.96,4.91,4.79,1.0,0.0,1.0,0.53,62.0,5518.0,1.0,1.0,0.0,31.0,124.0,Private room in condo,"Washington, DC",,f,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room in condo,Private room,06/10/2013,11/08/2024,f,t
1667080,8828921.0,38.90438,-77.00177,100%,96%,2.0,2.0,1.0,1.0,$78.00,2.0,100.0,0.0,0.0,0.0,147.0,352.0,44.0,4.0,4.89,4.94,4.92,4.97,4.95,4.8,4.84,1.0,1.0,0.0,2.49,255.0,19890.0,0.0,1.0,0.0,2.0,1125.0,Entire guest suite,"Washington, D.C., DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire guest suite,Entire home/apt,04/11/2013,10/06/2025,f,t
1789722,9391057.0,38.93118,-77.03811,100%,99%,2.0,6.0,1.0,3.0,$177.00,2.0,30.0,14.0,40.0,70.0,157.0,492.0,29.0,1.0,4.89,4.92,4.94,4.95,4.95,4.83,4.86,2.0,2.0,0.0,3.47,174.0,30798.0,1.0,2.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,20/10/2013,26/05/2025,f,t
1806338,9462131.0,38.88981,-76.98762,100%,98%,2.0,1.0,1.5,1.0,$110.00,4.0,730.0,6.0,14.0,44.0,313.0,137.0,23.0,2.0,4.91,4.91,4.83,4.99,4.97,4.93,4.88,2.0,0.0,2.0,1.0,184.0,20240.0,1.0,2.0,0.0,4.2,1125.0,Private room in home,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in home,Private room,28/03/2014,11/06/2025,f,t
1813962,3045892.0,38.90807,-77.03174,90%,40%,1.0,2.0,1.0,1.0,$130.00,31.0,1125.0,6.0,6.0,28.0,303.0,26.0,2.0,0.0,4.76,4.85,5.0,4.77,4.88,4.92,4.96,1.0,1.0,0.0,0.19,124.0,16120.0,1.0,1.0,0.0,31.0,1125.0,Entire rental unit,"Washington, DC",within a day,f,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,08/12/2013,30/04/2025,f,t
1838623,9542055.0,38.96885,-77.00968,0%,0%,4.0,2.0,1.0,2.0,$22.00,31.0,1125.0,1.0,1.0,30.0,305.0,18.0,2.0,1.0,4.94,4.89,4.83,5.0,5.0,4.89,4.94,2.0,0.0,2.0,0.21,124.0,2728.0,2.0,2.0,0.0,31.0,1125.0,Private room in townhouse,"Washington, DC",a few days or more,f,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room in townhouse,Private room,24/04/2018,20/05/2025,f,t
1841397,9542055.0,38.96971,-77.00793,0%,0%,4.0,2.0,1.0,2.0,$33.00,31.0,1125.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.78,4.67,4.61,4.78,4.78,4.56,4.89,2.0,0.0,2.0,0.14,0.0,0.0,2.0,2.0,0.0,31.0,1125.0,Private room in home,"Washington, DC",a few days or more,f,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room in home,Private room,12/08/2014,07/05/2022,f,t
