id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
11455321,46326018,38.8942,-76.98603,100,97,5,2,1,1,148,2,360,0,0,0,0,54,6,2,4.96,4.98,4.94,5,4.96,4.85,4.89,3,0,3,0.51,36,5328,1,4,0,2,360,Private room in townhouse,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Private room in townhouse,Private room,03/10/2019,16/06/2025,f,t
11528631,20527599,38.90332,-76.98278,67,83,6,5,1,1,119,31,1125,0,20,50,140,515,0,0,4.71,4.8,4.75,4.92,4.89,4.47,4.67,2,1,1,4.56,0,12338,1,2,0,31,1125,Entire rental unit,"Evergreen, CO",within a few hours,f,t,"Ivy City, Arboretum, Trinidad, Carver Langston",Entire rental unit,Entire home/apt,03/06/2016,09/09/2023,f,t
11529762,20527599,38.90233,-76.98163,67,83,6,1,1.5,1,53,30,1125,0,6,36,153,609,1,0,4.8,4.86,4.9,4.91,4.89,4.39,4.71,2,1,1,5.39,60,3180,1,2,0,30,1125,Private room in townhouse,"Evergreen, CO",within a few hours,f,t,"Ivy City, Arboretum, Trinidad, Carver Langston",Private room in townhouse,Private room,03/10/2016,02/08/2024,f,t
11543343,60902756,38.88365936,-77.00076294,100,100,1,4,1,3,219,2,30,5,20,50,80,303,44,3,4.9,4.93,4.89,4.95,4.97,4.95,4.84,1,1,0,2.69,255,55845,2,1,0,2,30,Entire townhouse,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire townhouse,Entire home/apt,03/10/2019,03/06/2025,t,t
11553508,53580080,38.88759,-76.99931,100,100,15,4,1,2,296,31,1125,0,0,0,168,25,0,0,4.76,4.88,4.84,4.96,4.92,4.96,4.6,12,12,0,0.23,0,0,1,14,0,31,1125,Entire serviced apartment,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire serviced apartment,Entire home/apt,03/10/2019,15/05/2022,f,t
11553692,30602831,38.91854,-77.01168,100,83,1,2,1,1,85,3,30,4,8,8,54,145,11,3,4.94,4.97,4.93,4.99,4.99,4.77,4.91,1,1,0,1.3,66,5610,1,1,0,3,30,Entire rental unit,"Washington, DC",within an hour,t,f,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire rental unit,Entire home/apt,04/12/2016,10/06/2025,f,t
11555687,60195881,38.95238,-77.07245,100,99,1,4,1,1,100,2,1125,12,30,53,294,267,46,1,4.89,4.91,4.88,4.95,4.94,4.97,4.85,1,1,0,2.77,255,25500,1,1,0,2,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"Friendship Heights, American University Park, Tenleytown",Entire rental unit,Entire home/apt,03/10/2019,25/05/2025,t,t
11599968,34195632,38.92322,-77.02655,100,100,1,2,1,1,86,31,1125,5,35,65,340,304,2,0,4.79,4.88,4.71,4.93,4.95,4.86,4.82,1,1,0,2.91,124,10664,1,1,0,31,1125,Entire townhouse,"Reston, VA",within an hour,t,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire townhouse,Entire home/apt,03/10/2019,16/05/2025,t,t
11603441,61401979,38.9427,-77.01953,100,91,1,4,1,2,99,3,60,11,41,71,251,72,13,1,4.92,4.96,4.92,4.97,4.99,4.79,4.86,1,1,0,0.64,78,7722,1,1,0,3,1125,Entire guest suite,"Washington, DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire guest suite,Entire home/apt,03/10/2019,12/06/2025,f,t
11637325,61680461,38.94478,-77.02662,100,100,1,6,2,3,209,3,30,8,8,10,92,176,22,2,4.77,4.82,4.77,4.93,4.94,4.74,4.75,1,1,0,1.71,132,27588,3,1,0,3,1125,Entire home,"Washington, DC",within an hour,t,f,"Brightwood Park, Crestwood, Petworth",Entire home,Entire home/apt,03/10/2019,14/06/2025,f,t
11639515,1998736,38.8845,-76.94345,100,100,2,2,1,1,86,1,3,18,47,77,77,715,121,4,4.81,4.9,4.92,4.95,4.97,4.44,4.78,2,1,1,6.43,255,21930,1,2,0,1,3,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol View, Marshall Heights, Benning Heights",Entire rental unit,Entire home/apt,05/01/2016,31/05/2025,f,t
11689750,32782305,38.8845,-76.92681,100,75,6,1,1,1,62,14,730,0,0,26,301,74,4,0,4.93,4.93,4.99,4.99,4.97,4.35,4.92,2,0,2,0.67,112,6944,1,6,0,14,1125,Private room in townhouse,"Washington, DC",within an hour,t,t,"Capitol View, Marshall Heights, Benning Heights",Private room in townhouse,Private room,03/10/2019,31/12/2024,t,t
11714338,5356790,38.88981,-77.0011,100,98,4,1,1,1,110,2,1125,11,34,57,323,139,25,3,4.89,4.87,4.79,4.96,4.96,4.98,4.84,3,0,3,1.26,150,16500,1,4,0,2,1125,Private room in townhouse,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in townhouse,Private room,03/10/2019,08/06/2025,f,t
11720627,61861443,38.87051,-76.97517,100,100,2,4,1.5,2,123,2,90,17,40,70,250,433,53,5,4.8,4.88,4.82,4.97,4.93,4.3,4.82,2,2,0,3.85,255,31365,2,2,0,2,1125,Entire home,"Washington, DC",within an hour,t,t,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Entire home,Entire home/apt,03/10/2019,16/06/2025,f,t
11721962,15365907,38.91186,-77.01956,100,93,5,4,1,2,131,3,90,14,33,47,47,362,40,4,4.94,4.96,4.92,4.96,4.99,4.9,4.92,4,2,2,3.21,240,31440,1,4,0,3,90,Entire townhouse,"Washington, DC",within an hour,t,t,"Shaw, Logan Circle",Entire townhouse,Entire home/apt,03/10/2019,14/06/2025,f,t
11759609,52087226,38.8896,-76.98117,100,50,1,6,1,1,119,31,1125,14,33,63,153,45,0,0,4.89,4.91,4.98,4.98,5,4.87,4.84,1,1,0,0.41,0,12338,4,1,0,30.3,1125,Entire home,"Washington, DC",within an hour,f,t,"Capitol Hill, Lincoln Park",Entire home,Entire home/apt,03/10/2019,20/08/2023,f,t
11767916,62638082,38.90355,-77.06336,100,98,1,3,1,1,119,31,60,0,0,0,0,151,0,0,4.79,4.83,4.55,4.95,4.93,4.96,4.75,1,1,0,1.35,0,12338,1,1,0,31,1125,Entire townhouse,"Washington, DC",within an hour,f,f,"Georgetown, Burleith/Hillandale",Entire townhouse,Entire home/apt,04/01/2016,01/06/2024,f,t
11809415,5356790,38.88856,-77.00089,100,98,4,2,1,1,100,2,1125,7,20,36,52,205,48,4,4.93,4.94,4.9,4.95,4.96,4.99,4.91,3,0,3,1.86,255,25500,1,4,0,2,1125,Private room in home,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in home,Private room,03/10/2019,13/06/2025,f,t
11838693,63078920,38.96748,-77.03124,93,100,4,4,1,2,107,1,7,13,32,57,136,518,44,4,4.89,4.93,4.94,4.97,4.96,4.83,4.89,3,3,0,4.66,255,27285,1,4,0,1.8,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"Takoma, Brightwood, Manor Park",Entire rental unit,Entire home/apt,05/04/2016,29/05/2025,t,t
11848786,5487930,38.91722,-77.04001,94,93,45,2,1.5,1,144,10,700,0,0,15,290,15,1,0,4.73,4.93,4.33,4.8,4.87,4.93,4.6,16,3,13,0.13,20,2880,1,19,0,28,700,Private room in townhouse,"Washington, DC",within a few hours,t,t,"Dupont Circle, Connecticut Avenue/K Street",Private room in townhouse,Private room,03/10/2019,12/07/2024,f,t
11865642,63247182,38.90561,-76.99999,100,100,4,5,1,1,119,3,120,3,3,3,3,331,44,4,4.88,4.92,4.9,4.93,4.91,4.91,4.88,1,1,0,3.63,255,12338,2,4,0,3,1125,Entire townhouse,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire townhouse,Entire home/apt,03/10/2019,07/06/2025,f,t
